sitename,county,aqi,pollutant,status,so2,co,o3,o3_8hr,pm10,pm2.5,no2,nox,no,wind_speed,wind_direc,publishtime,co_8hr,pm2.5_avg,pm10_avg,so2_avg,longitude,latitude,siteid
基隆,基隆市,34,,良好,1.5,0.19,35.8,37.1,14,7,12.9,14.3,1.3,0.7,336,"2024/06/07 16:00:00",0.2,5.8,16,0,121.760056,25.129167,1
汐止,新北市,33,,良好,1.1,0.17,35,32.7,19,8,7.5,9.5,2,1.6,38,"2024/06/07 16:00:00",0.2,10.2,21,0,121.64081,25.06624,2
萬里,新北市,44,,良好,0.3,0.17,51.4,47.7,17,4,3.2,4.5,1.3,1,4,"2024/06/07 16:00:00",0.1,4.1,21,0,121.689881,25.179667,3
新店,新北市,59,細懸浮微粒,普通,1.3,0.35,41.2,55.9,24,14,17.6,19,1.4,1.3,341,"2024/06/07 16:00:00",0.3,18.9,28,1,121.537778,24.977222,4
土城,新北市,71,細懸浮微粒,普通,0.3,0.28,51.7,49.7,34,13,11.4,12.4,1,1.1,338,"2024/06/07 16:00:00",0.4,23.6,33,0,121.451861,24.982528,5
板橋,新北市,44,,良好,0.3,0.28,49.7,48,27,8,10.9,12,1.1,2.2,347,"2024/06/07 16:00:00",0.4,12.2,25,0,121.458667,25.012972,6
新莊,新北市,40,,良好,0.5,0.19,47.5,43.1,13,7,6.8,8.5,1.6,2.3,25,"2024/06/07 16:00:00",0.3,9.6,17,0,121.4325,25.037972,7
菜寮,新北市,39,,良好,0.4,0.24,46.4,42.6,13,8,7.5,9,1.4,1.6,342,"2024/06/07 16:00:00",0.4,10.3,17,0,121.481028,25.06895,8
林口,新北市,39,,良好,0.1,0.15,48.5,42.8,10,3,2.5,3.1,0.5,1.8,346,"2024/06/07 16:00:00",0.1,2.9,9,0,121.36548982,25.07798949,9
淡水,新北市,36,,良好,0.5,0.22,43.8,39.3,14,3,4.5,5.4,0.9,,,"2024/06/07 16:00:00",0.3,5.9,15,0,121.449239,25.1645,10
士林,臺北市,36,,良好,0.6,0.27,41.7,38.9,21,8,5.7,7.7,2,1.3,279,"2024/06/07 16:00:00",0.2,11.1,21,0,121.51666356,25.10334003,11
中山,臺北市,46,,良好,0.9,0.4,32.3,36,24,16,16.8,20.6,3.8,1.4,115,"2024/06/07 16:00:00",0.5,14.1,22,0,121.526528,25.062361,12
萬華,臺北市,37,,良好,0.5,0.39,40.4,40.5,23,2,15.5,17.9,2.4,1.1,20,"2024/06/07 16:00:00",0.4,8.8,23,0,121.507972,25.046503,13
古亭,臺北市,44,,良好,1.1,0.31,31.4,44.1,29,11,22.3,28.2,5.9,1.2,53,"2024/06/07 16:00:00",0.4,13.5,25,1,121.529556,25.020608,14
松山,臺北市,54,細懸浮微粒,普通,3.9,0.25,31.6,43.1,25,16,18.2,20.3,2,2,46,"2024/06/07 16:00:00",0.3,16.9,22,1,121.578611,25.05,15
大同,臺北市,51,細懸浮微粒,普通,0.9,0.9,27.1,27.5,24,16,22.2,33,10.7,-,-,"2024/06/07 16:00:00",1,15.6,23,0,121.51342074,25.06331455,16
桃園,桃園市,38,,良好,1.6,0.25,46.1,38.4,16,10,9.8,11.2,1.3,2.4,327,"2024/06/07 16:00:00",0.3,11.6,17,0,121.30500531,24.9947107,17
大園,桃園市,39,,良好,0.6,0.18,47,42.9,19,7,7,8.9,1.9,0.2,184,"2024/06/07 16:00:00",0.2,5.5,16,0,121.20251473,25.06100357,18
觀音,桃園市,43,,良好,0.2,0.1,50.3,46.6,18,6,3.5,4.5,1,4.3,19,"2024/06/07 16:00:00",0.1,5.4,14,0,121.08283092,25.03556747,19
平鎮,桃園市,33,,良好,0,0.3,41.3,36.2,12,4,11.1,12.7,1.5,1.2,30,"2024/06/07 16:00:00",0.3,7.5,15,0,121.203986,24.952786,20
龍潭,桃園市,40,,良好,1.4,0.24,45.9,43.6,20,9,10.2,10.7,0.4,2.2,7,"2024/06/07 16:00:00",0.3,11.2,21,1,121.21645772,24.86400048,21
湖口,新竹縣,43,,良好,0.3,0.16,48.6,46.2,18,8,2.8,3.6,0.8,2.8,13,"2024/06/07 16:00:00",0.1,8.1,14,0,121.03886894,24.90009696,22
竹東,新竹縣,40,,良好,0.4,0.24,38,43.2,22,10,8.8,9.8,1,1,352,"2024/06/07 16:00:00",0.2,9.9,20,0,121.08895493,24.74091408,23
新竹,新竹市,39,,良好,0.3,0.22,45.9,42,12,3,5.8,6.2,0.4,1.3,5,"2024/06/07 16:00:00",0.2,5.3,14,0,120.97236752,24.8056356,24
頭份,苗栗縣,42,,良好,0.7,0.18,45.6,45.1,27,5,3.6,5.9,2.2,2.9,352,"2024/06/07 16:00:00",0.2,7.2,20,1,120.89869286,24.69690679,25
苗栗,苗栗縣,44,,良好,1.2,0.14,47.5,47.9,18,6,4,4.8,0.8,2.7,8,"2024/06/07 16:00:00",0.1,8.7,17,1,120.82011468,24.56499183,26
三義,苗栗縣,42,,良好,1.1,0.18,51.3,45.1,28,15,3.8,5.2,1.4,4.1,12,"2024/06/07 16:00:00",0.2,9.2,18,0,120.75956754,24.38248443,27
豐原,臺中市,48,,良好,3.1,0.22,57,52.4,27,11,6.6,7.7,1.1,4,330,"2024/06/07 16:00:00",0.2,9.3,23,2,120.74252414,24.25699731,28
沙鹿,臺中市,48,,良好,0.8,0.16,53.6,52.9,37,7,3.1,3.6,0.5,4.3,2,"2024/06/07 16:00:00",0.2,8.3,25,0,120.568794,24.225628,29
大里,臺中市,48,,良好,1,0.23,63.8,52.9,24,10,6.8,7.1,0.2,3.3,326,"2024/06/07 16:00:00",0.3,11.2,19,1,120.67844444,24.09961111,30
忠明,臺中市,42,,良好,1.5,0.21,,45.8,29,2,7.3,9.6,2.2,3.3,320,"2024/06/07 16:00:00",0.3,5.2,22,1,120.641092,24.151958,31
西屯,臺中市,45,,良好,1.1,0.16,54.3,49.3,36,12,5.2,6.6,1.3,3.4,343,"2024/06/07 16:00:00",0.2,11,27,1,120.616917,24.162197,32
彰化,彰化縣,48,,良好,0.6,0.18,54.7,52.2,30,10,7.2,8.7,1.5,3.8,8,"2024/06/07 16:00:00",0.2,8.9,30,0,120.541519,24.066,33
線西,彰化縣,44,,良好,1.7,0.15,52.3,48.8,37,7,6.2,7.1,0.9,5.4,16,"2024/06/07 16:00:00",0.1,6.2,24,1,120.469061,24.131672,34
二林,彰化縣,51,細懸浮微粒,普通,1.8,0.16,57.4,54.4,34,17,3.2,3.7,0.5,3.7,7,"2024/06/07 16:00:00",0.2,15.6,28,2,120.409653,23.925175,35
南投,南投縣,46,,良好,0.9,0.26,71.9,50.9,34,17,7.5,8.3,0.7,2.1,12,"2024/06/07 16:00:00",0.3,12.7,28,0,120.685306,23.913,36
斗六,雲林縣,57,細懸浮微粒,普通,2.2,0.2,66.7,50.2,39,12,4.8,5.6,0.7,3.2,332,"2024/06/07 16:00:00",0.2,17.9,37,1,120.544994,23.711853,37
